MAG,MG,Coverage
MAG00387,MG_0555RFLQV1,70.80029
MAG00388,MG_0555RFLQV1,606.0916
MAG00389,MG_0557RFLQV1,136.26375
MAG00390,MG_0557RFLQV1,32.029236
MAG00392,MG_0563RFLQV1,110.36112
MAG00393,MG_0563RFLQV1,33.092064
MAG00394,MG_0563RFLQV1,1059.9451
MAG00395,MG_0563RFLQV1,8.133582
MAG00396,MG_0563RFLQV1,38.103394
MAG00397,MG_0563RFLQV1,11.284066
MAG00398,MG_0563RFLQV1,23.042683
MAG00399,MG_0563RFLQV1,100.851204
MAG00400,MG_0563RFLQV1,9.074881
MAG00401,MG_0563RFLQV1,560.53174
MAG00402,MG_0563RFLQV1,189.16162
MAG00403,MG_0563RFLQV1,12.362221
MAG00404,MG_0573RFLQV1,64.06599
MAG00405,MG_0573RFLQV1,90.78528
MAG00406,MG_0573RFLQV1,68.580956
MAG00407,MG_0573RFLQV1,1897.8046
MAG00408,MG_0573RFLQV1,25.044918
MAG00409,MG_0573RFLQV1,1217.6104
MAG00410,MG_0573RFLQV1,100.0722
MAG00411,MG_0573RFLQV1,23.821312
MAG00412,MG_0573RFLQV1,132.05037
MAG00413,MG_0573RFLQV1,783.4171
MAG00414,MG_0573RFLQV1,74.45453
MAG00415,MG_0573RFLQV1,15.171024
MAG00416,MG_0573RFLQV1,11.017423
MAG00417,MG_0573RFLQV1,68.02181
MAG00418,MG_0573RFLQV1,229.14082
MAG00419,MG_0574RFLQV1,215.9533
MAG00420,MG_0577RFLQV1,27.06945
MAG00421,MG_0577RFLQV1,11.939288
MAG00423,MG_0577RFLQV1,818.06696
MAG00424,MG_0577RFLQV1,89.53218
MAG00425,MG_0577RFLQV1,48.90726
MAG00426,MG_0577RFLQV1,18.856369
MAG00427,MG_0577RFLQV1,48.850533
MAG00428,MG_0580RFLQV1,275.92307
